"","from","to"
"389","Crown Proceedings Act 1992","Crown Proceedings Act 1992"
"390","Crown Rates and Taxes Recovery Act 1945","Crown Rates and Taxes Recovery Act 1945"
"391","Crown Rates and Taxes Recovery Act 1945","Crown Rates and Taxes Recovery Act 1945"
"392","Dangerous Substances Act 1979","Dangerous Substances Act 1979"
"393","Dangerous Substances Act 1979","Dangerous Substances Act 1979"
"394","Dangerous Substances Act 1979","Dangerous Substances Act 1979"
"395","Dangerous Substances Act 1979","Acts Interpretation Act 1915"
"396","Daylight Saving Act 1971","Daylight Saving Act 1971"
"397","Daylight Saving Act 1971","Daylight Saving Act 1971"
"398","Debtors Act 1936","Debtors Act 1936"
"399","Debtors Act 1936","Debtors Act 1936"
"400","Debtors Act 1936","Debtors Act 1936"
"401","Debtors Act 1936","Justices of the Peace Act 2005"
"402","Decimal Currency Act 1965","Decimal Currency Act 1965"
"403","Decimal Currency Act 1965","Decimal Currency Act 1965"
"404","Decimal Currency Act 1965","Decimal Currency Act 1965"
"405","Defamation Act 2005","Defamation Act 2005"
"406","Defamation Act 2005","Defamation Act 2005"
"407","Defamation Act 2005","Limitation of Actions Act 1936"
"408","Defamation Act 2005","Defamation Act 2005"
"409","Defamation Act 2005","Civil Liability Act 1936"
"410","Defamation Act 2005","Criminal Law Consolidation Act 1935"
"411","Defamation Act 2005","Evidence Act 1929"
"412","Defamation Act 2005","Limitation of Actions Act 1936"
"413","Development Act 1993","Development Act 1993"
"414","Development Act 1993","Development Act 1993"
"415","Development Act 1993","Development Act 1993"
"416","Development Act 1993","Adelaide Dolphin Sanctuary Act 2005"
"417","Development Act 1993","Fire and Emergency Services Act 2005"
"418","Development Act 1993","Adelaide Park Lands Act 2005"
"419","Development Act 1993","Marine Parks Act 2007"
"420","Development Act 1993","Murray-Darling Basin Act 2008"
"421","Development Act 1993","Arkaroola Protection Act 2012"
"422","Development Act 1993","Water Industry Act 2012"
"423","Director of Public Prosecutions Act 1991","Director of Public Prosecutions Act 1991"
"424","Director of Public Prosecutions Act 1991","Director of Public Prosecutions Act 1991"
"425","Director of Public Prosecutions Act 1991","Director of Public Prosecutions Act 1991"
"426","Director of Public Prosecutions Act 1991","Bail Act 1985"
"427","Director of Public Prosecutions Act 1991","Controlled Substances Act 1984"
"428","Director of Public Prosecutions Act 1991","Criminal Law Consolidation Act 1935"
"429","Director of Public Prosecutions Act 1991","Evidence Act 1929"
"430","Director of Public Prosecutions Act 1991","Freedom of Information Act 1991"
"431","Director of Public Prosecutions Act 1991","Juries Act 1927"
"432","Director of Public Prosecutions Act 1991","Legal Practitioners Act 1981"
"433","Director of Public Prosecutions Act 1991","Supreme Court Act 1935"
"434","Director of Public Prosecutions Act 1991","Surveillance Devices Act 2016"
"435","Disability Inclusion Act 2018","Disability Inclusion Act 2018"
"436","Disability Inclusion Act 2018","Disability Inclusion Act 2018"
"437","Disability Inclusion Act 2018","Carers Recognition Act 2005"
"438","Disability Inclusion Act 2018","Disability Services Act 1993"
"439","Disability Inclusion Act 2018","Disability Services Act 1993"
"440","Disability Inclusion Act 2018","Disability Services Act 1993"
"441","Disability Services Act 1993","Disability Services Act 1993"
"442","Disability Services Act 1993","Disability Services Act 1993"
"443","Disability Services Act 1993","Disability Services Act 1993"
"444","Disability Services Act 1993","Disability Inclusion Act 2018"
"445","Disability Services Act 1993","Disability Inclusion Act 2018"
"446","District Court Act 1991","District Court Act 1991"
"447","District Court Act 1991","District Court Act 1991"
"448","District Court Act 1991","Land Agents Act 1994"
"449","District Court Act 1991","District Court Act 1991"
"450","Dog and Cat Management Act 1995","Dog and Cat Management Act 1995"
"451","Dog and Cat Management Act 1995","Dog and Cat Management Act 1995"
"452","Dog and Cat Management Act 1995","Dog and Cat Management Act 1995"
"453","Dog and Cat Management Act 1995","Dog and Cat Management Act 1995"
"454","Dog and Cat Management Act 1995","Natural Resources Management Act 2004"
"455","Dog Fence Act 1946","Dog Fence Act 1946"
"456","Dog Fence Act 1946","Dog Fence Act 1946"
"457","Dog Fence Act 1946","Natural Resources Management Act 2004"
"458","Domestic Partners Property Act 1996","Domestic Partners Property Act 1996"
"459","Domestic Partners Property Act 1996","Domestic Partners Property Act 1996"
"460","Domestic Partners Property Act 1996","Relationships Register Act 2016"
"461","Domicile Act 1980","Domicile Act 1980"
"462","Domicile Act 1980","Domicile Act 1980"
"463","Dust Diseases Act 2005","Dust Diseases Act 2005"
"464","Dust Diseases Act 2005","Dust Diseases Act 2005"
"465","Dust Diseases Act 2005","Dust Diseases Act 2005"
"466","Dust Diseases Act 2005","Civil Liability Act 1936"
"467","Dust Diseases Act 2005","Limitation of Actions Act 1936"
"468","Dust Diseases Act 2005","Survival of Causes of Action Act 1940"
"469","Economic Development Act 1993","Economic Development Act 1993"
"470","Economic Development Act 1993","Economic Development Act 1993"
"471","Education Act 1972","Education Act 1972"
"472","Education Act 1972","Education Act 1972"
"473","Education Act 1972","Education Act 1972"
"474","Education Act 1972","Education Act 1972"
"475","Education Act 1972","Teachers Registration and Standards Act 2004"
"476","Education Act 1972","Teachers Registration and Standards Act 2004"
"477","Education and Early Childhood Services (Registration and Standards) Act 2011","Child Sex Offenders Registration Act 2006"
"478","Education and Early Childhood Services (Registration and Standards) Act 2011","Criminal Law Consolidation Act 1935"
"479","Education and Early Childhood Services (Registration and Standards) Act 2011","Education Act 1972"
"480","Education and Early Childhood Services (Registration and Standards) Act 2011","Local Government Act 1999"
"481","Education and Early Childhood Services (Registration and Standards) Act 2011","SACE Board of South Australia Act 1983"
"482","Education and Early Childhood Services (Registration and Standards) Act 2011","Summary Offences Act 1953"
"483","Education and Early Childhood Services (Registration and Standards) Act 2011","Teachers Registration and Standards Act 2004"
"484","Education and Early Childhood Services (Registration and Standards) Act 2011","Technical and Further Education Act 1975"
"485","Election of Senators Act 1903","Election of Senators Act 1903"
"486","Election of Senators Act 1903","Election of Senators Act 1903"
"487","Electoral Act 1985","Electoral Act 1985"
"488","Electoral Act 1985","Electoral Act 1985"
"489","Electoral Act 1985","Electoral Act 1985"
"490","Electricity Act 1996","Electricity Act 1996"
"491","Electricity Act 1996","Electricity Act 1996"
"492","Electricity Act 1996","Essential Services Commission Act 2002"
"493","Electricity Act 1996","Electricity Act 1996"
"494","Electricity Act 1996","Electricity Corporations Act 1994"
"495","Electricity Act 1996","Emergency Management Act 2004"
"496","Electricity Act 1996","Fire and Emergency Services Act 2005"
"497","Electricity Act 1996","South Australian Public Health Act 2011"
"498","Electricity Corporations (Restructuring and Disposal) Act 1999","Electricity Corporations Act 1994"
"499","Electricity Corporations (Restructuring and Disposal) Act 1999","Development Act 1993"
"500","Electricity Corporations (Restructuring and Disposal) Act 1999","Environment Protection Act 1993"
"501","Electricity Corporations (Restructuring and Disposal) Act 1999","Mining Act 1971"
"502","Electricity Corporations (Restructuring and Disposal) Act 1999","Superannuation Act 1988"
"503","Electricity Corporations Act 1994","Electricity Corporations Act 1994"
"504","Electricity Corporations Act 1994","Electricity Corporations Act 1994"
"505","Electricity Corporations Act 1994","Public Corporations Act 1993"
"506","Electricity Corporations Act 1994","Trustee Act 1936"
"507","Electricity Corporations Act 1994","Electricity Corporations Act 1994"
"508","Electronic Communications Act 2000","Electronic Communications Act 2000"
"509","Electronic Communications Act 2000","Electronic Communications Act 2000"
"510","Emergency Management Act 2004","Emergency Management Act 2004"
"511","Emergency Management Act 2004","Emergency Management Act 2004"
"512","Emergency Management Act 2004","Emergency Management Act 2004"
"513","Emergency Management Act 2004","Emergency Management Act 2004"
"514","Emergency Management Act 2004","Electricity Act 1996"
"515","Emergency Management Act 2004","Essential Services Act 1981"
"516","Emergency Management Act 2004","Gas Act 1997"
"517","Emergency Management Act 2004","Local Government Act 1999"
"518","Emergency Management Act 2004","Summary Offences Act 1953"
"519","Emergency Management Act 2004","Emergency Management Act 2004"
"520","Emergency Management Act 2004","South Australian Public Health Act 2011"
"521","Emergency Services Funding Act 1998","Emergency Services Funding Act 1998"
"522","Emergency Services Funding Act 1998","Emergency Services Funding Act 1998"
"523","Emergency Services Funding Act 1998","Emergency Services Funding Act 1998"
"524","Emergency Services Funding Act 1998","Valuation of Land Act 1971"
"525","Emergency Services Funding Act 1998","Fire and Emergency Services Act 2005"
"526","Employment Agents Registration Act 1993","Employment Agents Registration Act 1993"
"527","Employment Agents Registration Act 1993","Employment Agents Registration Act 1993"
"528","Employment Agents Registration Act 1993","Employment Agents Registration Act 1993"
"529","Encroachments Act 1944","Encroachments Act 1944"
"530","Encroachments Act 1944","Encroachments Act 1944"
"531","Enforcement of Judgments Act 1991","Enforcement of Judgments Act 1991"
"532","Enforcement of Judgments Act 1991","Enforcement of Judgments Act 1991"
"533","Environment Protection Act 1993","Environment Protection Act 1993"
"534","Environment Protection Act 1993","Environment Protection Act 1993"
"535","Environment Protection Act 1993","Environment Protection Act 1993"
"536","Environment Protection Act 1993","Environment Protection Act 1993"
"537","Environment Protection Act 1993","Development Act 1993"
"538","Environment Protection Act 1993","Natural Resources Management Act 2004"
"539","Environment Protection Act 1993","Adelaide Dolphin Sanctuary Act 2005"
"540","Environment Protection Act 1993","Marine Parks Act 2007"
"541","Equal Opportunity Act 1984","Equal Opportunity Act 1984"
"542","Equal Opportunity Act 1984","Equal Opportunity Act 1984"
"543","Equal Opportunity Act 1984","Fair Work Act 1994"
"544","Equal Opportunity Act 1984","Equal Opportunity Act 1984"
"545","Equal Opportunity Act 1984","Relationships Register Act 2016"
"546","Essential Services Act 1981","Essential Services Act 1981"
"547","Essential Services Act 1981","Essential Services Act 1981"
"548","Essential Services Act 1981","Emergency Management Act 2004"
"549","Essential Services Act 1981","Fire and Emergency Services Act 2005"
"550","Essential Services Act 1981","South Australian Public Health Act 2011"
"551","Essential Services Commission Act 2002","Essential Services Commission Act 2002"
"552","Essential Services Commission Act 2002","Essential Services Commission Act 2002"
"553","Essential Services Commission Act 2002","Essential Services Commission Act 2002"
"554","Essential Services Commission Act 2002","Essential Services Commission Act 2002"
"555","Essential Services Commission Act 2002","Local Government Act 1999"
"556","Essential Services Commission Act 2002","Water Industry Act 2012"
"557","Evidence Act 1929","Evidence Act 1929"
"558","Evidence Act 1929","Evidence Act 1929"
"559","Evidence Act 1929","Evidence Act 1929"
"560","Evidence Act 1929","Evidence Act 1929"
"561","Evidence Act 1929","Coroners Act 2003"
"562","Evidence Act 1929","Defamation Act 2005"
"563","Expiation of Offences Act 1996","Expiation of Offences Act 1996"
"564","Expiation of Offences Act 1996","Expiation of Offences Act 1996"
"565","Expiation of Offences Act 1996","Fines Enforcement and Debt Recovery Act 2017"
"566","Expiation of Offences Act 1996","Fines Enforcement and Debt Recovery Act 2017"
"567","Explosives Act 1936","Explosives Act 1936"
"568","Explosives Act 1936","Explosives Act 1936"
"569","Explosives Act 1936","Explosives Act 1936"
"570","Fair Trading Act 1987","Fair Trading Act 1987"
"571","Fair Trading Act 1987","Fair Trading Act 1987"
"572","Fair Trading Act 1987","Legal Practitioners Act 1981"
"573","Fair Trading Act 1987","Small Business Commissioner Act 2011"
"574","Fair Trading Act 1987","Small Business Commissioner Act 2011"
"575","Fair Work Act 1994","Fair Work Act 1994"
"576","Fair Work Act 1994","Fair Work Act 1994"
"577","Fair Work Act 1994","Fair Work Act 1994"
"578","Fair Work Act 1994","Fair Work Act 1994"
"579","Fair Work Act 1994","Courts Administration Act 1993"
"580","Fair Work Act 1994","Training and Skills Development Act 2008"
"581","Fair Work Act 1994","Advance Care Directives Act 2013"
"582","Family and Community Services Act 1972","Family and Community Services Act 1972"
"583","Family and Community Services Act 1972","Family and Community Services Act 1972"
"584","Family and Community Services Act 1972","Family and Community Services Act 1972"
"585","Family and Community Services Act 1972","Justices of the Peace Act 2005"
"586","Family and Community Services Act 1972","Health Care Act 2008"
"587","Family and Community Services Act 1972","Youth Justice Administration Act 2016"
"588","Family Relationships Act 1975","Family Relationships Act 1975"
"589","Family Relationships Act 1975","Family Relationships Act 1975"
"590","Farm Debt Mediation Act 2018","Farm Debt Mediation Act 2018"
"591","Farm Debt Mediation Act 2018","Farm Debt Mediation Act 2018"
"592","Fees Regulation Act 1927","Fees Regulation Act 1927"
"593","Fees Regulation Act 1927","Fees Regulation Act 1927"
"594","Fences Act 1975","Fences Act 1975"
"595","Fences Act 1975","Fences Act 1975"
"596","Fences Act 1975","Fences Act 1975"
"597","Financial Sector Reform (South Australia) Act 1999","Acts Interpretation Act 1915"
"598","Financial Sector Reform (South Australia) Act 1999","Adelaide Festival Theatre Act 1964"
"599","Financial Sector Reform (South Australia) Act 1999","Administration and Probate Act 1919"
"600","Financial Sector Reform (South Australia) Act 1999","Associations Incorporation Act 1985"
"601","Financial Sector Reform (South Australia) Act 1999","Benefit Associations Act 1958"
"602","Financial Sector Reform (South Australia) Act 1999","Botanic Gardens and State Herbarium Act 1978"
"603","Financial Sector Reform (South Australia) Act 1999","Carrick Hill Trust Act 1985"
"604","Financial Sector Reform (South Australia) Act 1999","Community Titles Act 1996"
"605","Financial Sector Reform (South Australia) Act 1999","Conveyancers Act 1994"
"606","Financial Sector Reform (South Australia) Act 1999","Criminal Law Consolidation Act 1935"
"607","Financial Sector Reform (South Australia) Act 1999","Economic Development Act 1993"
"608","Financial Sector Reform (South Australia) Act 1999","Enforcement of Judgments Act 1991"
"609","Financial Sector Reform (South Australia) Act 1999","Evidence Act 1929"
"610","Financial Sector Reform (South Australia) Act 1999","Fair Trading Act 1987"
"611","Financial Sector Reform (South Australia) Act 1999","Family and Community Services Act 1972"
"612","Financial Sector Reform (South Australia) Act 1999","Government Financing Authority Act 1982"
"613","Financial Sector Reform (South Australia) Act 1999","History Trust of South Australia Act 1981"
"614","Financial Sector Reform (South Australia) Act 1999","Holidays Act 1910"
"615","Financial Sector Reform (South Australia) Act 1999","Land Agents Act 1994"
"616","Financial Sector Reform (South Australia) Act 1999","Landlord and Tenant Act 1936"
"617","Financial Sector Reform (South Australia) Act 1999","Legal Practitioners Act 1981"
"618","Financial Sector Reform (South Australia) Act 1999","Local Government Finance Authority Act 1983"
"619","Financial Sector Reform (South Australia) Act 1999","Motor Accident Commission Act 1992"
"620","Financial Sector Reform (South Australia) Act 1999","Oaths Act 1936"
"621","Financial Sector Reform (South Australia) Act 1999","Primary Industry Funding Schemes Act 1998"
"622","Financial Sector Reform (South Australia) Act 1999","Public Finance and Audit Act 1987"
"623","Financial Sector Reform (South Australia) Act 1999","Public Trustee Act 1995"
"624","Financial Sector Reform (South Australia) Act 1999","Residential Tenancies Act 1995"
"625","Financial Sector Reform (South Australia) Act 1999","Retail and Commercial Leases Act 1995"
"626","Financial Sector Reform (South Australia) Act 1999","South Australian Housing Trust Act 1995"
"627","Financial Sector Reform (South Australia) Act 1999","South Australian Motor Sport Act 1984"
"628","Financial Sector Reform (South Australia) Act 1999","South Australian Multicultural and Ethnic Affairs Commission Act 1980"
"629","Financial Sector Reform (South Australia) Act 1999","South Australian Tourism Commission Act 1993"
"630","Financial Sector Reform (South Australia) Act 1999","State Lotteries Act 1966"
"631","Financial Sector Reform (South Australia) Act 1999","Strata Titles Act 1988"
"632","Financial Sector Reform (South Australia) Act 1999","Supreme Court Act 1935"
"633","Financial Sector Reform (South Australia) Act 1999","Taxation Administration Act 1996"
"634","Financial Sector Reform (South Australia) Act 1999","Trustee Act 1936"
"635","Financial Sector Reform (South Australia) Act 1999","Unclaimed Moneys Act 1891"
"636","Financial Sector Reform (South Australia) Act 1999","West Beach Recreation Reserve Act 1987"
"637","Financial Transaction Reports (State Provisions) Act 1992","Criminal Assets Confiscation Act 2005"
"638","Fines Enforcement and Debt Recovery Act 2017","Fines Enforcement and Debt Recovery Act 2017"
"639","Fines Enforcement and Debt Recovery Act 2017","Fines Enforcement and Debt Recovery Act 2017"
"640","Fines Enforcement and Debt Recovery Act 2017","Motor Vehicles Act 1959"
"641","Fines Enforcement and Debt Recovery Act 2017","Cross-border Justice Act 2009"
"642","Fines Enforcement and Debt Recovery Act 2017","Expiation of Offences Act 1996"
"643","Fines Enforcement and Debt Recovery Act 2017","Magistrates Court Act 1991"
"644","Fines Enforcement and Debt Recovery Act 2017","Motor Vehicles Act 1959"
"645","Fines Enforcement and Debt Recovery Act 2017","Victims of Crime Act 2001"
"646","Fire and Emergency Services Act 2005","Fire and Emergency Services Act 2005"
"647","Fire and Emergency Services Act 2005","Fire and Emergency Services Act 2005"
"648","Fire and Emergency Services Act 2005","Fire and Emergency Services Act 2005"
"649","Fire and Emergency Services Act 2005","Fire and Emergency Services Act 2005"
"650","Fire and Emergency Services Act 2005","Development Act 1993"
"651","Fire and Emergency Services Act 2005","Electricity Act 1996"
"652","Fire and Emergency Services Act 2005","Emergency Services Funding Act 1998"
"653","Fire and Emergency Services Act 2005","Essential Services Act 1981"
"654","Fire and Emergency Services Act 2005","Gas Act 1997"
"655","Fire and Emergency Services Act 2005","Local Government Act 1999"
"656","Fire and Emergency Services Act 2005","Private Parking Areas Act 1986"
"657","Fire and Emergency Services Act 2005","Summary Offences Act 1953"
"658","Fire and Emergency Services Act 2005","South Australian Public Health Act 2011"
"659","Firearms Act 2015","Firearms Act 2015"
"660","Firearms Act 2015","Firearms Act 2015"
"661","Firearms Act 2015","Firearms Act 2015"
"662","Firearms Act 2015","Firearms Act 2015"
"663","Firearms Act 2015","Bail Act 1985"
"664","Firearms Act 2015","Correctional Services Act 1982"
"665","Firearms Act 2015","Criminal Law Consolidation Act 1935"
"666","Firearms Act 2015","Cross-border Justice Act 2009"
"667","Firearms Act 2015","Protective Security Act 2007"
"668","Firearms Act 2015","Security and Investigation Industry Act 1995"
"669","Firearms Act 2015","Summary Offences Act 1953"
"670","Firearms Act 2015","Young Offenders Act 1993"
"671","First Home and Housing Construction Grants Act 2000","First Home and Housing Construction Grants Act 2000"
"672","First Home and Housing Construction Grants Act 2000","First Home and Housing Construction Grants Act 2000"
"673","Fisheries Management Act 2007","Fisheries Management Act 2007"
"674","Fisheries Management Act 2007","Fisheries Management Act 2007"
"675","Fisheries Management Act 2007","Fisheries Management Act 2007"
"676","Fisheries Management Act 2007","Fisheries Management Act 2007"
"677","Fisheries Management Act 2007","Aquaculture Act 2001"
"678","Fisheries Management Act 2007","Criminal Assets Confiscation Act 2005"
"679","Fisheries Management Act 2007","Harbors and Navigation Act 1993"
"680","Fisheries Management Act 2007","Livestock Act 1997"
"681","Fisheries Management Act 2007","Marine Parks Act 2007"
"682","Flinders University Act 1966","Flinders University Act 1966"
"683","Flinders University Act 1966","Flinders University Act 1966"
"684","Food Act 2001","Food Act 2001"
"685","Food Act 2001","Food Act 2001"
"686","Food Act 2001","Food Act 2001"
"687","Food Act 2001","Safe Drinking Water Act 2011"
"688","Football Park (Rates and Taxes Exemption) Act 1974","Land Tax Act 1936"
"689","Foreign Judgments Act 1971","Foreign Judgments Act 1971"
"690","Foreign Judgments Act 1971","Foreign Judgments Act 1971"
"691","Forest Property Act 2000","Forest Property Act 2000"
"692","Forest Property Act 2000","Forest Property Act 2000"
"693","Forest Property Act 2000","Forest Property Act 2000"
"694","Forest Property Act 2000","Real Property Act 1886"
"695","Forestry Act 1950","Forestry Act 1950"
"696","Forestry Act 1950","Forestry Act 1950"
"697","Freedom of Information Act 1991","Freedom of Information Act 1991"
"698","Freedom of Information Act 1991","Freedom of Information Act 1991"
"699","Freedom of Information Act 1991","Coroners Act 2003"
"700","Frustrated Contracts Act 1988","Frustrated Contracts Act 1988"
"701","Frustrated Contracts Act 1988","Frustrated Contracts Act 1988"
"702","Gaming Machines Act 1992","Gaming Machines Act 1992"
"703","Gaming Machines Act 1992","Gaming Machines Act 1992"
"704","Gaming Machines Act 1992","State Procurement Act 2004"
"705","Gaming Machines Act 1992","Gaming Machines Act 1992"
"706","Gas Act 1997","Gas Act 1997"
"707","Gas Act 1997","Gas Act 1997"
"708","Gas Act 1997","Essential Services Commission Act 2002"
"709","Gas Act 1997","Emergency Management Act 2004"
"710","Gas Act 1997","Fire and Emergency Services Act 2005"
"711","Gas Act 1997","South Australian Public Health Act 2011"
"712","Gene Technology Act 2001","Gene Technology Act 2001"
"713","Gene Technology Act 2001","Gene Technology Act 2001"
"714","Gene Technology Act 2001","Gene Technology Act 2001"
"715","General Tramways Act 1884","General Tramways Act 1884"
"716","Genetically Modified Crops Management Act 2004","Genetically Modified Crops Management Act 2004"
"717","Genetically Modified Crops Management Act 2004","Genetically Modified Crops Management Act 2004"
"718","Genetically Modified Crops Management Act 2004","Genetically Modified Crops Management Act 2004"
"719","Geographical Names Act 1991","Geographical Names Act 1991"
"720","Geographical Names Act 1991","Geographical Names Act 1991"
"721","Geographical Names Act 1991","Geographical Names Act 1991"
"722","Government Financing Authority Act 1982","Government Financing Authority Act 1982"
"723","Government Financing Authority Act 1982","Government Financing Authority Act 1982"
"724","Government House Precinct Land Dedication Act 2016","Government House Precinct Land Dedication Act 2016"
"725","Government House Precinct Land Dedication Act 2016","Government House Precinct Land Dedication Act 2016"
"726","Government House Precinct Land Dedication Act 2016","National Soldiers Memorial Act 1949"
"727","Graffiti Control Act 2001","Graffiti Control Act 2001"
"728","Graffiti Control Act 2001","Graffiti Control Act 2001"
"729","Graffiti Control Act 2001","Graffiti Control Act 2001"
"730","Graffiti Control Act 2001","Summary Offences Act 1953"
"731","Green Industries SA Act 2004","Green Industries SA Act 2004"
"732","Green Industries SA Act 2004","Green Industries SA Act 2004"
"733","Green Industries SA Act 2004","Public Finance and Audit Act 1987"
"734","Green Industries SA Act 2004","Green Industries SA Act 2004"
"735","Green Industries SA Act 2004","Environment Protection Act 1993"
"736","Ground Water (Qualco-Sunlands) Control Act 2000","Natural Resources Management Act 2004"
"737","Ground Water (Qualco-Sunlands) Control Act 2000","Natural Resources Management Act 2004"
"738","Ground Water (Qualco-Sunlands) Control Act 2000","Natural Resources Management Act 2004"
"739","Ground Water (Qualco-Sunlands) Control Act 2000","Murray-Darling Basin Act 2008"
"740","Guardianship and Administration Act 1993","Guardianship and Administration Act 1993"
"741","Guardianship and Administration Act 1993","Guardianship and Administration Act 1993"
"742","Guardianship and Administration Act 1993","Advance Care Directives Act 2013"
"743","Guardianship and Administration Act 1993","Advance Care Directives Act 2013"
"744","Guardianship and Administration Act 1993","Guardianship and Administration Act 1993"
"745","Guardianship of Infants Act 1940","Guardianship of Infants Act 1940"
"746","Guardianship of Infants Act 1940","Guardianship of Infants Act 1940"
"747","Guardianship of Infants Act 1940","Guardianship of Infants Act 1940"
"748","Hairdressers Act 1988","Hairdressers Act 1988"
"749","Hairdressers Act 1988","Hairdressers Act 1988"
"750","Harbors and Navigation Act 1993","Harbors and Navigation Act 1993"
"751","Harbors and Navigation Act 1993","Harbors and Navigation Act 1993"
"752","Harbors and Navigation Act 1993","Development Act 1993"
"753","Harbors and Navigation Act 1993","Harbors and Navigation Act 1993"
"754","Harbors and Navigation Act 1993","Coroners Act 2003"
"755","Harbors and Navigation Act 1993","Adelaide Dolphin Sanctuary Act 2005"
"756","Harbors and Navigation Act 1993","Fisheries Management Act 2007"
"757","Harbors and Navigation Act 1993","Marine Parks Act 2007"
"758","Health and Community Services Complaints Act 2004","Health and Community Services Complaints Act 2004"
"759","Health and Community Services Complaints Act 2004","Health and Community Services Complaints Act 2004"
"760","Health and Community Services Complaints Act 2004","Ombudsman Act 1972"
"761","Health and Community Services Complaints Act 2004","Health Care Act 2008"
"762","Health and Community Services Complaints Act 2004","Advance Care Directives Act 2013"
"763","Health Care Act 2008","Health Care Act 2008"
"764","Health Care Act 2008","Health Care Act 2008"
"765","Health Care Act 2008","Health Care Act 2008"
"766","Health Care Act 2008","Health Care Act 2008"
"767","Health Care Act 2008","Controlled Substances Act 1984"
"768","Health Care Act 2008","Coroners Act 2003"
"769","Health Care Act 2008","Family and Community Services Act 1972"
"770","Health Care Act 2008","Health and Community Services Complaints Act 2004"
"771","Health Care Act 2008","Supported Residential Facilities Act 1992"
"772","Health Care Act 2008","South Australian Public Health Act 2011"
"773","Health Practitioner Regulation National Law (South Australia) Act 2010","Acts Interpretation Act 1915"
"774","Health Practitioner Regulation National Law (South Australia) Act 2010","Boxing and Martial Arts Act 2000"
"775","Health Practitioner Regulation National Law (South Australia) Act 2010","Consent to Medical Treatment and Palliative Care Act 1995"
"776","Health Practitioner Regulation National Law (South Australia) Act 2010","Controlled Substances Act 1984"
"777","Health Practitioner Regulation National Law (South Australia) Act 2010","Coroners Act 2003"
"778","Health Practitioner Regulation National Law (South Australia) Act 2010","Criminal Law Consolidation Act 1935"
"779","Health Practitioner Regulation National Law (South Australia) Act 2010","Health and Community Services Complaints Act 2004"
"780","Health Practitioner Regulation National Law (South Australia) Act 2010","Landlord and Tenant Act 1936"
"781","Health Practitioner Regulation National Law (South Australia) Act 2010","Mental Health Act 2009"
"782","Health Practitioner Regulation National Law (South Australia) Act 2010","Road Traffic Act 1961"
"783","Health Practitioner Regulation National Law (South Australia) Act 2010","Summary Offences Act 1953"
"784","Health Services Charitable Gifts Act 2011","Health Services Charitable Gifts Act 2011"
"785","Health Services Charitable Gifts Act 2011","Health Services Charitable Gifts Act 2011"
"786","Health Services Charitable Gifts Act 2011","Health Services Charitable Gifts Act 2011"
"787","Heritage Places Act 1993","Heritage Places Act 1993"
"788","Heritage Places Act 1993","Heritage Places Act 1993"
"789","Heritage Places Act 1993","Heritage Places Act 1993"
"790","Heritage Places Act 1993","Heritage Places Act 1993"
"791","Heritage Places Act 1993","Aboriginal Heritage Act 1988"
"792","Heritage Places Act 1993","Native Vegetation Act 1991"
"793","Heritage Places Act 1993","Strata Titles Act 1988"
"794","Heritage Places Act 1993","Valuation of Land Act 1971"
"795","Heritage Places Act 1993","River Murray Act 2003"
"796","Highways Act 1926","Highways Act 1926"
"797","Highways Act 1926","Highways Act 1926"
"798","Highways Act 1926","Local Government Act 1999"
"799","Highways Act 1926","Adelaide Park Lands Act 2005"
"800","Historic Shipwrecks Act 1981","Historic Shipwrecks Act 1981"
"801","Historic Shipwrecks Act 1981","Historic Shipwrecks Act 1981"
"802","Historic Shipwrecks Act 1981","Adelaide Dolphin Sanctuary Act 2005"
"803","Historic Shipwrecks Act 1981","Marine Parks Act 2007"
"804","History Trust of South Australia Act 1981","History Trust of South Australia Act 1981"
"805","History Trust of South Australia Act 1981","History Trust of South Australia Act 1981"
"806","History Trust of South Australia Act 1981","History Trust of South Australia Act 1981"
"807","Holidays Act 1910","Holidays Act 1910"
"808","Holidays Act 1910","Holidays Act 1910"
"809","Holidays Act 1910","Holidays Act 1910"
"810","Holidays Act 1910","Holidays Act 1910"
"811","Housing Agreement Act 1991","Housing Agreement Act 1991"
"812","Housing Agreement Act 1991","Housing Agreement Act 1991"
"813","Housing Agreement Act 1991","Housing Agreement Act 1991"
"814","Housing Improvement Act 2016","Housing Improvement Act 2016"
"815","Housing Improvement Act 2016","Housing Improvement Act 2016"
"816","Housing Improvement Act 2016","Real Property Act 1886"
"817","Housing Improvement Act 2016","Housing Improvement Act 2016"
"818","Housing Improvement Act 2016","Housing Improvement Act 2016"
"819","Housing Improvement Act 2016","Residential Parks Act 2007"
"820","Housing Improvement Act 2016","Residential Tenancies Act 1995"
"821","Housing Loans Redemption Fund Act 1962","Housing Loans Redemption Fund Act 1962"
"822","Housing Loans Redemption Fund Act 1962","Housing Loans Redemption Fund Act 1962"
"823","Hydroponics Industry Control Act 2009","Hydroponics Industry Control Act 2009"
"824","Hydroponics Industry Control Act 2009","Hydroponics Industry Control Act 2009"
"825","Impounding Act 1920","Impounding Act 1920"
"826","Impounding Act 1920","Impounding Act 1920"
"827","Impounding Act 1920","Impounding Act 1920"
"828","Impounding Act 1920","Justices of the Peace Act 2005"
"829","Independent Commissioner Against Corruption Act 2012","Independent Commissioner Against Corruption Act 2012"
